t;rep1;rep2;rep3;rep4;rep5;rep6;rep7
0;1,411;1,427;1,428;1,487;1,554;1,512;1,4
0,004;1,41;1,426;1,427;1,486;1,554;1,511;1,399
0,008;1,409;1,425;1,425;1,485;1,553;1,51;1,397
0,013;1,409;1,424;1,425;1,484;1,552;1,51;1,396
0,017;1,407;1,422;1,423;1,482;1,55;1,508;1,394
0,021;1,406;1,421;1,422;1,48;1,548;1,506;1,392
0,025;1,404;1,419;1,42;1,478;1,547;1,506;1,391
0,029;1,403;1,418;1,419;1,476;1,545;1,503;1,389
0,033;1,402;1,416;1,416;1,474;1,543;1,502;1,386
0,037;1,4;1,415;1,412;1,471;1,54;1,499;1,383
0,042;1,398;1,412;1,41;1,469;1,538;1,497;1,38
0,046;1,396;1,409;1,407;1,465;1,535;1,494;1,376
0,05;1,393;1,406;1,404;1,462;1,532;1,491;1,373
0,054;1,39;1,404;1,401;1,459;1,529;1,488;1,369
0,058;1,388;1,401;1,397;1,456;1,525;1,485;1,365
0,063;1,384;1,396;1,394;1,453;1,522;1,482;1,362
0,067;1,376;1,393;1,39;1,449;1,518;1,479;1,358
0,071;1,373;1,388;1,386;1,445;1,515;1,475;1,354
0,075;1,369;1,385;1,383;1,441;1,51;1,471;1,349
0,079;1,365;1,382;1,378;1,437;1,506;1,467;1,345
0,083;1,36;1,377;1,374;1,431;1,502;1,463;1,34
0,087;1,357;1,374;1,368;1,426;1,497;1,457;1,335
0,092;1,353;1,369;1,363;1,421;1,492;1,454;1,329
0,096;1,347;1,365;1,359;1,416;1,487;1,448;1,324
0,1;1,342;1,358;1,354;1,41;1,482;1,443;1,319
0,104;1,337;1,354;1,346;1,406;1,478;1,438;1,313
0,108;1,333;1,349;1,341;1,401;1,472;1,433;1,307
0,113;1,327;1,343;1,335;1,394;1,467;1,427;1,3
0,117;1,322;1,338;1,328;1,388;1,46;1,421;1,294
0,121;1,316;1,333;1,322;1,382;1,454;1,414;1,288
0,125;1,309;1,326;1,316;1,375;1,446;1,409;1,281
